,origin_airport,dest_airport,airline,fare,nonstop,distance,origin_city,dest_city,passengers
5446,OAK,SLC,Delta Air Lines,128.44291,1,588.2669677254282,"Oakland, CA","Salt Lake City, UT",4560
5447,SFO,SLC,United Airlines,222.56633999999997,1,598.892304418747,"San Francisco, CA","Salt Lake City, UT",2110
5448,SMF,SLC,Southwest Airlines,189.14894,0,531.6435880791315,"Sacramento, CA","Salt Lake City, UT",660
5449,OAK,SLC,Southwest Airlines,174.94154,0,588.2669677254282,"Oakland, CA","Salt Lake City, UT",260
5450,SFO,SLC,Delta Air Lines,150.27653,1,598.892304418747,"San Francisco, CA","Salt Lake City, UT",3580
5451,SJC,SLC,Alaska Airlines,93.506056,1,584.4422900817673,"San Jose, CA","Salt Lake City, UT",1420
5452,SJC,SLC,Southwest Airlines,112.28508999999998,1,584.4422900817673,"San Jose, CA","Salt Lake City, UT",4520
5544,SFO,SAT,United Airlines,308.46632,1,1482.091486006837,"San Francisco, CA","San Antonio, TX",270
5545,SMF,SAT,Southwest Airlines,270.49568,0,1462.618731762796,"Sacramento, CA","San Antonio, TX",2030
5546,OAK,SAT,Southwest Airlines,269.89877,0,1475.771068352598,"Oakland, CA","San Antonio, TX",1140
5547,SFO,SAT,United Airlines,379.68260999999995,0,1482.091486006837,"San Francisco, CA","San Antonio, TX",190
5548,SJC,SAT,Southwest Airlines,226.15376,0,1453.813530029122,"San Jose, CA","San Antonio, TX",1490
5549,SFO,SAT,Southwest Airlines,204.68895000000003,0,1482.091486006837,"San Francisco, CA","San Antonio, TX",870
5550,SFO,SAT,American Airlines,243.25626000000003,0,1482.091486006837,"San Francisco, CA","San Antonio, TX",560
5551,SMF,SAT,Southwest Airlines,238.90437999999995,1,1462.618731762796,"Sacramento, CA","San Antonio, TX",480
