,origin_airport,dest_airport,airline,fare,nonstop,distance,origin_city,dest_city,passengers
3877,SJC,MSY,Southwest Airlines,254.09701,0,1884.314995940214,"San Jose, CA","New Orleans, LA",1710
3878,SJC,MSY,United Airlines,327.13277,0,1884.314995940214,"San Jose, CA","New Orleans, LA",180
3879,OAK,MSY,Spirit Air Lines,192.09965,1,1903.043750006931,"Oakland, CA","New Orleans, LA",290
3880,SFO,MSY,American Airlines,278.85909,0,1910.657443774649,"San Francisco, CA","New Orleans, LA",1440
4243,SFO,JFK,American Airlines,365.0707,0,2586.108460048054,"San Francisco, CA","New York, NY",140
4244,SFO,JFK,JetBlue Airways,301.55692000000005,1,2586.108460048054,"San Francisco, CA","New York, NY",14680
4245,SJC,EWR,American Airlines,372.86401,0,2548.3875141017347,"San Jose, CA","Newark, NJ",100
4246,SMF,EWR,Delta Air Lines,446.64387999999997,0,2500.327676390121,"Sacramento, CA","Newark, NJ",180
4247,SMF,JFK,JetBlue Airways,240.83457000000004,1,2521.111478862715,"Sacramento, CA","New York, NY",4580
4248,SFO,JFK,Virgin America,289.01854000000003,1,2586.108460048054,"San Francisco, CA","New York, NY",16690
4249,SFO,JFK,American Airlines,497.3259,1,2586.108460048054,"San Francisco, CA","New York, NY",4930
4250,SFO,EWR,Southwest Airlines,314.29834,0,2565.306273282345,"San Francisco, CA","Newark, NJ",120
4251,SJC,EWR,United Airlines,239.64688999999998,0,2548.3875141017347,"San Jose, CA","Newark, NJ",160
4252,SMF,EWR,United Airlines,368.16883,0,2500.327676390121,"Sacramento, CA","Newark, NJ",420
4253,OAK,LGA,Spirit Air Lines,172.75599,0,2568.999823959703,"Oakland, CA","New York, NY",150
4254,SJC,LGA,United Airlines,260.50501,0,2562.5605035832887,"San Jose, CA","New York, NY",180
4255,SJC,LGA,Southwest Airlines,252.75272999999996,0,2562.5605035832887,"San Jose, CA","New York, NY",220
4256,SJC,EWR,Southwest Airlines,278.41035999999997,0,2548.3875141017347,"San Jose, CA","Newark, NJ",270
4257,SJC,EWR,Alaska Airlines,204.88653000000002,1,2548.3875141017347,"San Jose, CA","Newark, NJ",5200
4258,SJC,JFK,American Airlines,274.2995,0,2569.1941788107,"San Jose, CA","New York, NY",200
4259,SMF,LGA,Delta Air Lines,319.63214999999997,0,2514.198111528432,"Sacramento, CA","New York, NY",140
4260,SMF,EWR,United Airlines,291.70578,1,2500.327676390121,"Sacramento, CA","Newark, NJ",260
4261,SFO,EWR,Virgin America,299.26898,1,2565.306273282345,"San Francisco, CA","Newark, NJ",10670
4262,SJC,JFK,Delta Air Lines,242.49417999999997,0,2569.1941788107,"San Jose, CA","New York, NY",240
4263,SFO,JFK,Sun Country Airlines,169.13043000000002,0,2586.108460048054,"San Francisco, CA","New York, NY",230
4264,SFO,EWR,United Airlines,423.1811,1,2565.306273282345,"San Francisco, CA","Newark, NJ",41490
