year,month,location,avg_fare,avg_miles,num_rides
2018,11,1.0,10.645125885692115,5.91746719193258,97946
2018,11,2.0,9.89585689245731,5.582752236600179,70744
2018,11,3.0,9.948582508331038,5.298679874859884,185151
2018,11,4.0,10.123743732715786,5.070587415703346,88954
2018,11,5.0,10.014318414495161,4.787729980871358,103538
2018,11,6.0,9.58458562276769,4.604215367147177,561638
2018,11,7.0,9.089150998606101,4.079857738873226,469905
2018,11,8.0,9.689035038150264,4.457334602984913,1451104
2018,11,9.0,11.336610209641123,6.110178929546244,8443
2018,11,10.0,10.788368716399168,5.963820704581437,25483
2018,11,11.0,10.71961742147553,5.881039977975087,21904
2018,11,12.0,12.489577669023019,6.942404555263807,11034
2018,11,13.0,10.21564769975787,5.7128708147689435,19824
2018,11,14.0,10.456316633644683,5.577067779251868,52995
2018,11,15.0,10.572312192883501,5.758149378827774,52301
2018,11,16.0,10.104081730538635,5.254008227554708,83396
2018,11,17.0,11.027497040881363,6.106657932963562,21966
2018,11,18.0,10.62902847767491,5.8266277791510594,8533
2018,11,19.0,9.61939109284576,5.167429407013833,59615
2018,11,20.0,9.68075096334797,4.97765433586036,22318
2018,11,21.0,9.329931283211335,4.749613869245802,93718
2018,11,22.0,9.06973528921075,4.362861530685441,323674
2018,11,23.0,9.455112709252433,4.869633506350287,66188
2018,11,24.0,8.740655306648966,4.005114164514797,545363
2018,11,25.0,10.21006325404191,5.7661669101298845,81892
2018,11,26.0,9.388946905573265,5.28322804578727,18194
2018,11,27.0,9.38184016289132,5.221805154688781,31432
2018,11,28.0,9.140522267949086,4.464692787772289,774162
2018,11,29.0,9.643872895054528,5.451836761927845,48873
2018,11,30.0,9.840029985007495,5.801093282399416,50025
2018,11,31.0,9.366166754941043,5.170458031682457,107619
2018,11,32.0,10.346238407749658,5.05337419410474,786409
2018,11,33.0,10.791794350809406,5.236553308282698,180132
2018,11,34.0,9.392543859649123,5.085928059517515,42180
2018,11,35.0,9.153908066535504,5.714516533086077,55910
2018,11,36.0,9.658590308370044,6.234492828958885,10442
2018,11,37.0,8.26450276243094,4.884250710539656,7240
2018,11,38.0,9.60361396568775,5.917581293727606,46514
2018,11,39.0,10.351186063750927,6.561988455793027,40470
2018,11,40.0,9.347382732834806,5.979827108258627,22065
2018,11,41.0,10.91891466122547,6.581637166398331,133304
2018,11,42.0,10.206957439002018,6.2898356279614145,43608
2018,11,43.0,10.97697357290292,6.957711952125768,59106
2018,11,44.0,9.554525774590719,5.594609673647942,44346
2018,11,45.0,10.34375,6.32680630331762,8800
2018,11,46.0,11.266277084000427,7.015460933174059,18738
2018,11,47.0,11.252959747434886,6.992449773922137,2534
2018,11,48.0,11.308577832110839,6.971990885581925,9816
2018,11,49.0,10.823389021479713,6.878576532272917,36034
2018,11,50.0,11.012365250475586,7.095834276397942,7885
2018,11,51.0,11.665602044075376,7.556964148440526,9393
2018,11,52.0,14.058674231113764,9.092621890623823,3349
2018,11,53.0,11.96077100583684,7.497306431694391,14734
2018,11,54.0,14.056303116147308,9.707215781229035,4236
2018,11,55.0,13.719676549865229,9.102260336580521,2226
2018,11,56.0,22.57762450104971,14.30228727814243,110983
2018,11,57.0,9.595180799189412,5.836879459976759,15791
2018,11,58.0,9.055726646135797,5.525944270274863,34095
2018,11,59.0,9.21389154197177,5.448106497691881,18846
2018,11,60.0,9.549373443898023,5.391919010861837,48599
2018,11,61.0,9.562085295376713,5.709115221885338,37376
2018,11,62.0,9.462121854080163,5.553333109190501,11801
2018,11,63.0,9.415309375136458,5.5077797883572135,22901
2018,11,64.0,11.602896966384257,6.786351290202703,10977
2018,11,65.0,10.205920988615354,6.000585188795292,20554
2018,11,66.0,10.218762180522301,6.117757844489516,35918
2018,11,67.0,9.981771330406566,6.004593033305653,26195
2018,11,68.0,9.441590842383329,5.7231456753221925,30663
2018,11,69.0,9.358593885812203,5.674954857289134,40267
2018,11,70.0,11.266969384889055,6.796982637937528,21362
2018,11,71.0,10.410315490960652,6.2937818528278315,39494
2018,11,72.0,12.002092218556369,7.12838152565941,12427
2018,11,73.0,10.990796441976451,6.860392569071044,19449
2018,11,74.0,11.48794024941757,6.59803162662439,7297
2018,11,75.0,11.63498904825832,7.171413083924166,14153
2018,11,76.0,28.068798360504985,17.921399281490682,304484
2018,11,77.0,10.532097767324872,5.763532711668116,122454
2018,11,,21.92367779301936,14.371815578337948,524880
2018,12,1.0,10.567362170976981,5.93279013350816,95662
2018,12,2.0,9.841914512557995,5.595651138088966,70911
2018,12,3.0,9.809267365210033,5.191073429099123,191446
2018,12,4.0,10.003011727078892,5.016735294763354,93800
2018,12,5.0,9.992907994871935,4.741161212266579,109983
2018,12,6.0,9.601613318601348,4.566432685278033,601865
2018,12,7.0,9.06412992777079,4.0132203964979265,495229
2018,12,8.0,9.511519803630454,4.370420270451057,1460919
2018,12,9.0,11.574505828687279,6.375313818122585,9865
2018,12,10.0,10.707496240311572,5.955773005009521,25933
2018,12,11.0,10.606510166681211,5.886737643065109,22918
2018,12,12.0,12.44366929543288,6.941754907600363,11539
2018,12,13.0,10.363139896901954,5.7987846318692675,19593
2018,12,14.0,10.38989159842391,5.543267459750525,55073
2018,12,15.0,10.428016445104502,5.722021565034281,55214
2018,12,16.0,10.073268282591457,5.2960061396260825,87009
2018,12,17.0,11.041862442386003,6.149133733425576,22347
2018,12,18.0,10.527971627960188,5.897704987781899,8741
2018,12,19.0,9.508375580384243,5.124808065880738,60951
2018,12,20.0,9.652744050509956,5.044237444954772,22649
