DATE,var,cty,value
2001-01-01,pop,jpn,67.9135661018633
2002-01-01,gdp,chn,2061.16228377566
2002-01-01,gdp,jpn,42190.804872797795
2002-01-01,pop,chn,69.63820317938989
2002-01-01,pop,jpn,67.6030605815899
2003-01-01,gdp,chn,2253.9296885798603
2003-01-01,gdp,jpn,42744.0112849926
2003-01-01,pop,chn,70.6183595778575
2003-01-01,pop,jpn,67.2817783440195
2004-01-01,gdp,chn,2467.13284333365
2004-01-01,gdp,jpn,43671.6799739036
2004-01-01,pop,chn,71.5088523199023
2004-01-01,pop,jpn,66.924610384239
2005-01-01,gdp,chn,2732.16587968885
2005-01-01,gdp,jpn,44393.6263842134
2005-01-01,pop,chn,72.16407973817509
2005-01-01,pop,jpn,66.5177671238799
2006-01-01,gdp,chn,3062.53490453063
2006-01-01,gdp,jpn,44995.4944919183
2006-01-01,pop,chn,72.6735800146097
2006-01-01,pop,jpn,66.1353035826196
2007-01-01,gdp,chn,3480.1527254942403
2007-01-01,gdp,jpn,45687.2738147645
2007-01-01,pop,chn,72.98536685480109
2007-01-01,pop,jpn,65.71562294122289
2008-01-01,gdp,chn,3796.63336331895
2008-01-01,gdp,jpn,45165.7879187717
2008-01-01,pop,chn,73.1296112760178
2008-01-01,pop,jpn,65.2515796688881
2009-01-01,gdp,chn,4132.90231241877
2009-01-01,gdp,jpn,42724.7603699577
2009-01-01,pop,chn,73.2057255394451
2009-01-01,pop,jpn,64.7316507776283
2010-01-01,gdp,chn,4550.45359583857
2010-01-01,gdp,jpn,44507.6763859172
2010-01-01,pop,chn,73.26558948405
2010-01-01,pop,jpn,64.14714689406689
2011-01-01,gdp,chn,4961.23468857388
2011-01-01,gdp,jpn,44538.7261906952
2011-01-01,pop,chn,73.2309997808867
2011-01-01,pop,jpn,63.53572342002911
2012-01-01,gdp,chn,5325.1601061666
2012-01-01,gdp,jpn,45276.8743354249
2012-01-01,pop,chn,73.1770279539402
2012-01-01,pop,jpn,62.879579170088604
2013-01-01,gdp,chn,5710.58787337751
2013-01-01,gdp,jpn,46249.2095886537
2013-01-01,pop,chn,73.0809292040303
2013-01-01,pop,jpn,62.2084890919512
2014-01-01,gdp,chn,6103.59027048428
2014-01-01,gdp,jpn,46484.1552668954
2014-01-01,pop,chn,72.8992407406556
2014-01-01,pop,jpn,61.5688116965961
2015-01-01,gdp,chn,6500.281937297321
2015-01-01,gdp,jpn,47102.5808781405
2015-01-01,pop,chn,72.61433377299
2015-01-01,pop,jpn,60.991284823683394
2016-01-01,gdp,chn,6907.96201058196
2016-01-01,gdp,jpn,47403.046911648606
2016-01-01,pop,chn,72.2027527736548
2016-01-01,pop,jpn,60.49382347891629
2017-01-01,gdp,chn,7346.611354982191
2017-01-01,gdp,jpn,48510.6094087242
2017-01-01,pop,chn,71.7175184402221
2017-01-01,pop,jpn,60.0761301376108
2018-01-01,gdp,chn,7806.95309535737
2018-01-01,gdp,jpn,48766.1336628674
2018-01-01,pop,chn,71.2021137123803
2018-01-01,pop,jpn,59.72678128062451
2019-01-01,gdp,chn,8254.30092999719
2019-01-01,gdp,jpn,49187.8330895634
2019-01-01,pop,chn,70.7232986329292
2019-01-01,pop,jpn,59.4249196996624
